ref_date,geo,population,fd.population,pc.population
2017-01-01,Alberta,4241100,,
2018-01-01,Alberta,4298275,57175,1.35
2019-01-01,Alberta,4361694,63419,1.48
2020-01-01,Alberta,4421876,60182,1.38
2017-01-01,British Columbia,4929384,,
2018-01-01,British Columbia,5010476,81092,1.65
2019-01-01,British Columbia,5090955,80479,1.61
2020-01-01,British Columbia,5147712,56757,1.11
2017-01-01,Canada,36545295,,
2018-01-01,Canada,37065178,519883,1.42
2019-01-01,Canada,37593384,528206,1.43
2020-01-01,Canada,38005238,411854,1.1
2017-01-01,Manitoba,1334790,,
2018-01-01,Manitoba,1352825,18035,1.35
2019-01-01,Manitoba,1369540,16715,1.24
2020-01-01,Manitoba,1379263,9723,0.71
2017-01-01,New Brunswick,766621,,
2018-01-01,New Brunswick,770301,3680,0.48
2019-01-01,New Brunswick,776868,6567,0.85
2020-01-01,New Brunswick,781476,4608,0.59
2017-01-01,Newfoundland and Labrador,528249,,
2018-01-01,Newfoundland and Labrador,525560,-2689,-0.51
2019-01-01,Newfoundland and Labrador,523476,-2084,-0.4
2020-01-01,Newfoundland and Labrador,522103,-1373,-0.26
2017-01-01,Northwest Territories,44891,,
2018-01-01,Northwest Territories,44981,90,0.2
2019-01-01,Northwest Territories,45028,47,0.1
2020-01-01,Northwest Territories,45161,133,0.3
2017-01-01,Nova Scotia,950108,,
2018-01-01,Nova Scotia,958406,8298,0.87
2019-01-01,Nova Scotia,969747,11341,1.18
2020-01-01,Nova Scotia,979351,9604,0.99
2017-01-01,Nunavut,37546,,
2018-01-01,Nunavut,38143,597,1.59
2019-01-01,Nunavut,38614,471,1.23
2020-01-01,Nunavut,39353,739,1.91
2017-01-01,Ontario,14070141,,
2018-01-01,Ontario,14308697,238556,1.7
2019-01-01,Ontario,14544718,236021,1.65
2020-01-01,Ontario,14734014,189296,1.3
2017-01-01,Prince Edward Island,150402,,
2018-01-01,Prince Edward Island,153396,2994,1.99
2019-01-01,Prince Edward Island,157262,3866,2.52
2020-01-01,Prince Edward Island,159625,2363,1.5
2017-01-01,Quebec,8302063,,
2018-01-01,Quebec,8401738,99675,1.2
2019-01-01,Quebec,8501703,99965,1.19
2020-01-01,Quebec,8574571,72868,0.86
2017-01-01,Saskatchewan,1150331,,
2018-01-01,Saskatchewan,1161767,11436,0.99
2019-01-01,Saskatchewan,1172302,10535,0.91
2020-01-01,Saskatchewan,1178681,6379,0.54
2017-01-01,Yukon,39669,,
2018-01-01,Yukon,40613,944,2.38
2019-01-01,Yukon,41477,864,2.13
2020-01-01,Yukon,42052,575,1.39
