geo,ref_date,"All grains, total_1","Wheat, total_1","Wheat, excluding durum_1",Durum wheat_1,Oats_1,Barley_1,Rye_1,Flaxseed_1,Canola (rapeseed)_1
Alberta,2017-01-01,16285711,8591729,7781666,810063,156174,1277464,19942,43113,6197289
Alberta,2018-01-01,14670134,7982053,7292207,689846,208557,1217227,17554,40743,5204003
Alberta,2019-01-01,15534307,8466271,7664653,801613,255359,1276047,12309,50208,5474113
Alberta,2020-01-01,16889079,9190580,8276785,913796,405053,1474581,22098,57480,5739286
Alberta,2021-01-01,1488171,848045,728482,119563,25670,154031,457,9399,450569
British Columbia,2017-01-01,201400,72100,72100,0,41300,31000,0,0,57000
British Columbia,2018-01-01,249125,69725,69725,0,46500,34800,0,0,98100
British Columbia,2019-01-01,275494,99175,99175,0,59400,39900,0,0,77019
British Columbia,2020-01-01,264459,78600,78600,0,51600,54200,0,300,79759
British Columbia,2021-01-01,22340,12000,12000,0,3100,3100,0,0,4140
Canada,2017-01-01,53023327,26534198,21588830,4945368,2361726,3603929,179903,452290,19891275
Canada,2018-01-01,53169868,27348672,23070241,4278431,2564783,3882702,249022,467285,18657404
Canada,2019-01-01,54812477,28124107,22654265,5469840,2795324,4143920,193692,412105,19143337
Canada,2020-01-01,62697997,31883505,25989004,5894502,3171355,4942314,214966,524763,21961093
Canada,2021-01-01,5324660,2803979,2260523,543456,244197,491264,11180,49828,1724211
Manitoba,2017-01-01,8118754,4270106,4270106,0,639368,300500,121821,58478,2728485
Manitoba,2018-01-01,8276419,4615219,4615219,,571514,292119,99873,21872,2675821
Manitoba,2019-01-01,8806685,4779354,4763054,,664929,307464,113657,33363,2907919
Manitoba,2020-01-01,9466501,4785593,4759886,25708,734275,308808,126733,44508,3466582
Manitoba,2021-01-01,821318,431622,431622,0,85503,48962,7997,2489,244746
Ontario,2017-01-01,1324724,1206174,1206174,,40317,47373,,,30860
Ontario,2018-01-01,1187059,1071529,1071529,,36572,38506,,,40450
Ontario,2019-01-01,791414,661506,661506,,45427,52700,,,31780
Ontario,2020-01-01,1963184,1827095,1827095,,53681,51485,,,30924
Ontario,2021-01-01,38475,30992,30992,,2081,2395,,,3007
Quebec,2017-01-01,488698,239372,239372,,136384,87357,,,25585
Quebec,2018-01-01,494729,260071,260071,,121741,88137,,,24779
Quebec,2019-01-01,484631,247388,247388,,137767,79515,,,19960
Quebec,2020-01-01,449997,219741,219741,,132650,75644,,,21962
Quebec,2021-01-01,20913,8676,8676,,5824,4050,,,2364
Saskatchewan,2017-01-01,26604037,12154715,8019409,4135305,1348184,1860243,38141,350695,10852058
Saskatchewan,2018-01-01,28292401,13350072,9761489,3588585,1579898,2211912,131594,404671,10614252
Saskatchewan,2019-01-01,28919947,13870413,9218488,4651927,1632440,2388293,67724,328535,10632546
Saskatchewan,2020-01-01,33664776,15781899,10826898,4955001,1794092,2977596,66133,422479,12622579
Saskatchewan,2021-01-01,2933442,1472645,1048751,423893,122020,278726,2726,37940,1019386
